Category,Topic
Countries,United Kingdom
Countries,France
Countries,Spain
Countries,Italy
Countries,Germany
Countries,Australia
Countries,Japan
Countries,China
Countries,Brazil
Countries,Canada
Countries,United States
Countries,India
Countries,Egypt
Countries,Mexico
Countries,South Africa
Capitals,London
Capitals,Paris
Capitals,Madrid
Capitals,Rome
Capitals,Berlin
Capitals,Washington DC
Capitals,Tokyo
Capitals,Beijing
Capitals,Canberra
Capitals,Ottawa
Capitals,Dublin
Capitals,Edinburgh
Capitals,Cardiff
Capitals,Amsterdam
Capitals,Athens
Cities,London
Cities,Manchester
Cities,Liverpool
Cities,Birmingham
Cities,New York
Cities,Los Angeles
Cities,Paris
Cities,Barcelona
Cities,Rome
Cities,Dubai
Cities,Tokyo
Cities,Sydney
Cities,Las Vegas
Cities,Rio de Janeiro
Cities,Amsterdam
Flags,Union Jack
Flags,Stars and Stripes
Flags,Japan Flag
Flags,Canada Flag
Flags,Brazil Flag
Flags,French Flag
Flags,Italian Flag
Flags,German Flag
Flags,Spanish Flag
Flags,Australian Flag
Flags,Rainbow Flag
Flags,Welsh Flag
Flags,Scottish Flag
Flags,Irish Flag
Flags,Olympic Flag
Landmarks,Big Ben
Landmarks,Eiffel Tower
Landmarks,Statue of Liberty
Landmarks,Great Wall of China
Landmarks,Pyramids
Landmarks,Taj Mahal
Landmarks,Stonehenge
Landmarks,Mount Everest
Landmarks,Buckingham Palace
Landmarks,Sydney Opera House
Landmarks,Colosseum
Landmarks,Niagara Falls
Landmarks,Hollywood Sign
Landmarks,Tower Bridge
Landmarks,Christ the Redeemer
