Category,Topic
Sitcoms,Friends
Sitcoms,The Office
Sitcoms,Only Fools and Horses
Sitcoms,Gavin and Stacey
Sitcoms,The Inbetweeners
Sitcoms,The Big Bang Theory
Sitcoms,Brooklyn Nine-Nine
Sitcoms,How I Met Your Mother
Sitcoms,Modern Family
Sitcoms,The IT Crowd
Sitcoms,Fawlty Towers
Sitcoms,Blackadder
Sitcoms,Father Ted
Sitcoms,Friday Night Dinner
Sitcoms,Outnumbered
Cartoons,The Simpsons
Cartoons,Family Guy
Cartoons,South Park
Cartoons,SpongeBob SquarePants
Cartoons,Scooby-Doo
Cartoons,Tom and Jerry
Cartoons,Bluey
Cartoons,Peppa Pig
Cartoons,Pokémon
Cartoons,Dragon Ball Z
Cartoons,Ben 10
Cartoons,Adventure Time
Cartoons,Power Rangers
Cartoons,Paw Patrol
Cartoons,Phineas and Ferb
British TV,Doctor Who
British TV,Top Gear
British TV,The Grand Tour
British TV,Only Fools and Horses
British TV,Gavin and Stacey
British TV,Peaky Blinders
British TV,Line of Duty
British TV,Sherlock
British TV,Luther
British TV,Happy Valley
British TV,Downton Abbey
British TV,Broadchurch
British TV,Mr Bean
British TV,Taskmaster
British TV,Clarkson's Farm
Reality TV,Love Island
Reality TV,I'm a Celebrity
Reality TV,Big Brother
Reality TV,The Apprentice
Reality TV,Strictly Come Dancing
Reality TV,Britain's Got Talent
Reality TV,The X Factor
Reality TV,The Voice UK
Reality TV,The Masked Singer
Reality TV,Dragons' Den
Reality TV,Gogglebox
Reality TV,First Dates
Reality TV,Come Dine with Me
Reality TV,MasterChef
Reality TV,The Great British Bake Off
Netflix,Stranger Things
Netflix,Wednesday
Netflix,Squid Game
Netflix,The Crown
Netflix,Black Mirror
Netflix,Bridgerton
Netflix,Money Heist
Netflix,Narcos
Netflix,The Witcher
Netflix,Cobra Kai
Netflix,Sex Education
Netflix,The Queen's Gambit
Netflix,Drive to Survive
Netflix,You
Netflix,Dahmer
TV Characters,Homer Simpson
TV Characters,Bart Simpson
TV Characters,Del Boy
TV Characters,Rodney Trotter
TV Characters,David Brent
TV Characters,Mr Bean
TV Characters,Eleven
TV Characters,Walter White
TV Characters,Jon Snow
TV Characters,Tommy Shelby
TV Characters,Doctor Who
TV Characters,SpongeBob
TV Characters,Rick Sanchez
TV Characters,Sheldon Cooper
TV Characters,Joey Tribbiani
Game Shows,The Chase
Game Shows,Pointless
Game Shows,Who Wants to Be a Millionaire
Game Shows,Deal or No Deal
Game Shows,Family Fortunes
Game Shows,Catchphrase
Game Shows,Countdown
Game Shows,The Weakest Link
Game Shows,University Challenge
Game Shows,Tipping Point
Game Shows,Blankety Blank
Game Shows,Wheel of Fortune
Game Shows,Gladiators
Game Shows,Would I Lie to You
Game Shows,Taskmaster
Soap Operas,EastEnders
Soap Operas,Coronation Street
Soap Operas,Emmerdale
Soap Operas,Hollyoaks
Soap Operas,Neighbours
Soap Operas,Home and Away
Soap Operas,The Bill
Soap Operas,Casualty
Soap Operas,Holby City
Soap Operas,Brookside
Soap Operas,Doctors
Soap Operas,Waterloo Road
Soap Operas,River City
Soap Operas,Dallas
Soap Operas,Dynasty
